reseller_id,name,phone,signup_date,state,city_tier,age_group,primary_category,monthly_gmv,monthly_orders,avg_order_value,return_rate,support_tickets,whatsapp_active,tenure_days,days_since_last_order,churn_label
MSH000048,Zilmil Puri,7346283913,2023-03-31,Tamil Nadu,1,26-35,Fashion,23747.45,17,1396.91,0.1972,1,0,275,312,1
MSH000049,Girindra Uppal,00183490383,2023-03-04,Madhya Pradesh,3,26-35,Electronics,19141.8,26,736.22,0.3344,0,0,302,71,1
MSH000050,Yashoda Rama,+913380830327,2023-05-24,Tamil Nadu,1,18-25,Home Decor,9470.44,7,1352.92,0.1478,1,1,221,29,0
MSH000051,Aryan Johal,01952157440,2022-02-04,Bihar,2,36-45,Beauty,7072.5,8,884.06,0.0457,1,1,695,3,0
MSH000052,Libni Chadha,1508479135,2022-07-25,Gujarat,3,18-25,Fashion,8549.37,8,1068.67,0.376,1,1,524,316,1
MSH000053,Ekaja Vaidya,0470332455,2022-03-22,Gujarat,3,36-45,Electronics,30207.83,31,974.45,0.0853,1,1,649,8,0
MSH000054,Ekbal Trivedi,03088470996,2023-01-23,Odisha,3,36-45,Beauty,15589.64,15,1039.31,0.1564,0,1,342,5,0
MSH000055,Edhitha Narula,4876634425,2022-01-02,Odisha,2,36-45,Home Decor,7217.59,11,656.14,0.2156,2,1,728,2,0
MSH000056,Shravya Grover,04873598261,2023-01-25,Maharashtra,3,45+,Beauty,27451.15,38,722.4,0.0612,3,1,340,87,1
MSH000057,Suhani Kapur,+910686697976,2022-04-16,Tamil Nadu,3,36-45,Fashion,29783.28,43,692.63,0.2679,1,0,624,134,1
MSH000058,Yauvani Nanda,+910250250868,2023-04-22,Karnataka,2,36-45,Home Decor,9712.41,12,809.37,0.2566,1,1,253,334,1
MSH000059,Pratyush Thakur,3005495324,2023-02-06,Odisha,3,26-35,Kitchen,9851.12,15,656.74,0.1224,6,1,328,265,1
MSH000060,Darpan Kaur,0179919252,2022-06-11,Uttar Pradesh,3,45+,Beauty,58123.32,69,842.37,0.0466,0,1,568,29,0
MSH000061,Sathvik Bir,6346722360,2022-07-21,Odisha,1,26-35,Kitchen,6923.96,8,865.5,0.0454,2,1,528,11,0
MSH000062,Kashvi Amble,02302392694,2022-09-27,Maharashtra,3,26-35,Electronics,62637.78,77,813.48,0.3753,0,1,460,22,0
MSH000063,Ati Peri,+916046857703,2022-09-28,West Bengal,3,26-35,Fashion,5990.54,8,748.82,0.2128,1,0,459,25,0
MSH000064,Ryan Iyengar,+916291930305,2023-04-01,Tamil Nadu,2,26-35,Beauty,13322.47,11,1211.13,0.2938,0,1,274,13,0
MSH000065,Lucky Randhawa,0769435275,2023-04-07,Karnataka,2,26-35,Fashion,5104.04,3,1701.35,0.0149,2,0,268,19,0
MSH000066,Fitan Karan,2649971413,2022-09-09,Gujarat,3,18-25,Fashion,5452.16,7,778.88,0.103,3,1,478,13,0
MSH000067,Zilmil Gopal,00491611815,2022-10-23,Odisha,2,26-35,Fashion,4242.03,5,848.41,0.1445,0,0,434,16,0
MSH000068,Rajeshri Handa,+915477084075,2022-12-04,Gujarat,3,18-25,Beauty,17906.79,14,1279.06,0.509,0,1,392,10,0
MSH000069,Ayushman Dey,+917555937887,2022-02-22,Rajasthan,1,18-25,Fashion,17201.59,19,905.35,0.0712,4,1,677,13,0
MSH000070,Urmi Varma,08911591743,2022-08-05,Uttar Pradesh,3,45+,Kitchen,5808.31,7,829.76,0.07,0,0,513,14,0
MSH000071,Ojas Nayar,+917033484171,2022-07-07,Uttar Pradesh,3,18-25,Kitchen,7928.92,11,720.81,0.0484,2,1,542,12,0
MSH000072,Kai Prashad,00768651576,2023-01-15,Uttar Pradesh,3,36-45,Fashion,17410.83,17,1024.17,0.2963,0,1,350,13,0
MSH000073,Ikshita Natarajan,+919180843672,2023-05-08,Odisha,2,18-25,Home Decor,7002.51,14,500.18,0.3276,2,1,237,135,1
MSH000074,Aachal Ray,2896511543,2022-02-10,Bihar,3,26-35,Home Decor,13796.41,13,1061.26,0.0502,2,1,689,4,0
MSH000075,Gagan Puri,9764016972,2022-06-06,Odisha,2,26-35,Home Decor,15906.79,17,935.69,0.3581,3,1,573,14,0
MSH000076,Siya Sama,+911612497431,2022-01-15,Gujarat,3,45+,Fashion,6534.57,9,726.06,0.1174,2,1,715,17,0
MSH000077,Aradhana Andra,06400521585,2022-03-06,Odisha,2,36-45,Home Decor,18412.0,21,876.76,0.1301,1,1,665,4,0
MSH000078,Falguni Jain,+911915957835,2023-06-05,Karnataka,3,45+,Fashion,32631.6,54,604.29,0.0971,2,1,209,23,0
MSH000079,Chanakya Chopra,+913614832933,2022-12-10,West Bengal,1,45+,Kitchen,22589.82,22,1026.81,0.2151,0,0,386,23,0
MSH000080,Hamsini Sundaram,07824750264,2022-05-09,Maharashtra,3,36-45,Home Decor,11492.93,11,1044.81,0.3614,3,1,601,172,1
MSH000081,Aahana Balasubramanian,+917396890630,2023-04-17,Maharashtra,3,18-25,Beauty,14785.27,17,869.72,0.171,1,0,258,250,1
MSH000082,Turvi Arya,6990159008,2022-03-04,Rajasthan,3,18-25,Fashion,17131.31,15,1142.09,0.1814,3,1,667,2,0
MSH000083,Andrew Hari,7821461590,2022-05-19,Uttar Pradesh,2,45+,Fashion,8970.53,11,815.5,0.4367,1,0,591,28,0
MSH000084,Gagan Ramanathan,01367286873,2023-05-14,Tamil Nadu,2,36-45,Beauty,3544.84,4,886.21,0.0435,1,1,231,23,0
MSH000085,Yamini Lalla,00314743426,2023-01-27,West Bengal,3,18-25,Home Decor,34880.57,50,697.61,0.2307,1,0,338,213,1
MSH000086,Unni Jhaveri,+913437890997,2023-02-23,Uttar Pradesh,2,36-45,Beauty,7960.3,7,1137.19,0.2338,0,1,311,20,0
MSH000087,Raksha Kala,02736966806,2022-10-16,Gujarat,1,26-35,Fashion,56274.59,55,1023.17,0.09,3,1,441,12,0
MSH000088,Gauri Babu,+912475045217,2023-01-14,Gujarat,1,18-25,Electronics,15037.04,16,939.82,0.1771,1,1,351,92,1
MSH000089,Zarna Das,05265685946,2023-05-05,Uttar Pradesh,3,26-35,Home Decor,5624.34,7,803.48,0.0699,0,1,240,9,0
MSH000090,Hitesh Bhargava,+918211981289,2022-08-19,Maharashtra,1,26-35,Fashion,13550.88,18,752.83,0.0477,0,0,499,22,0
MSH000091,Lucky Naik,+915805100940,2022-02-10,Maharashtra,3,36-45,Home Decor,7449.85,3,2483.28,0.122,1,1,689,24,0
MSH000092,Netra Murthy,+911864334348,2022-01-28,West Bengal,2,36-45,Kitchen,9515.37,14,679.67,0.1853,0,0,702,25,0
MSH000093,Lavanya Johal,+910877809969,2022-05-15,Odisha,3,45+,Kitchen,20819.78,22,946.35,0.1691,2,0,595,19,0
MSH000094,Dipta Dixit,1285128378,2022-07-20,Tamil Nadu,1,26-35,Home Decor,71144.99,81,878.33,0.2548,0,1,529,8,0
MSH000095,Raksha Madan,+918797391506,2022-02-02,Madhya Pradesh,3,26-35,Home Decor,36765.55,51,720.89,0.1604,2,0,697,9,0
MSH000096,Azad Mangat,2130864249,2022-02-17,Maharashtra,1,36-45,Fashion,51046.6,65,785.33,0.1024,4,1,682,14,0
MSH000097,Rehaan Deo,8856801142,2023-05-18,Tamil Nadu,1,26-35,Fashion,5904.33,6,984.06,0.1361,7,1,227,22,0
MSH000098,Chakradhar Kar,2053747713,2023-02-11,Maharashtra,1,26-35,Fashion,25207.48,23,1095.98,0.1861,1,0,323,15,0
MSH000099,Charles Sridhar,05988679302,2022-04-09,Madhya Pradesh,1,36-45,Fashion,19088.12,25,763.52,0.106,1,1,631,15,0
MSH000100,Turvi Karan,5055511937,2023-04-07,Maharashtra,3,36-45,Fashion,9998.8,20,499.94,0.3754,1,1,268,179,1
MSH000101,Vidhi Bhasin,+911397644780,2022-01-05,Uttar Pradesh,3,36-45,Beauty,18372.43,23,798.8,0.1452,0,0,725,126,1
MSH000102,Anya Sinha,09066727159,2022-08-06,West Bengal,2,18-25,Fashion,6776.66,8,847.08,0.0862,2,0,512,5,0
MSH000103,Praneel Palan,1191892760,2023-05-18,Maharashtra,3,18-25,Beauty,7822.34,9,869.15,0.15,1,1,227,28,0
MSH000104,Jeet Mander,09320083044,2023-02-02,Tamil Nadu,3,18-25,Home Decor,24337.81,28,869.21,0.1701,3,1,332,139,1
MSH000105,Kabir Khurana,1295121628,2023-01-28,Madhya Pradesh,3,26-35,Beauty,10803.48,5,2160.7,0.1052,0,1,337,21,0
MSH000106,Hema Kanda,0798748717,2022-07-26,Gujarat,1,18-25,Fashion,46201.59,43,1074.46,0.309,0,0,523,11,0
MSH000107,Michael Nath,+916645598210,2022-01-15,Odisha,1,36-45,Beauty,2920.46,1,2920.46,0.245,2,1,715,12,0
MSH000108,Rachit Naik,+918670704233,2023-04-06,West Bengal,1,36-45,Fashion,2554.65,5,510.93,0.096,0,1,269,27,0
MSH000109,Mugdha Pradhan,+912172708342,2022-08-29,Bihar,2,45+,Electronics,22110.58,23,961.33,0.0126,0,1,489,2,0
MSH000110,Chasmum De,+917138766175,2022-04-06,Maharashtra,3,36-45,Kitchen,7111.78,10,711.18,0.3726,3,1,634,3,0
MSH000111,Tamanna Patil,03973404633,2023-04-30,Madhya Pradesh,3,18-25,Beauty,50363.57,70,719.48,0.1058,1,1,245,18,0
MSH000112,Riya Dave,8148039768,2023-02-11,Bihar,2,36-45,Fashion,3177.7,2,1588.85,0.2591,2,1,323,26,0
MSH000113,Mahika Golla,8460658475,2022-08-19,Rajasthan,3,26-35,Fashion,19873.95,30,662.46,0.2721,1,0,499,172,1
MSH000114,Vedant Palan,1793099688,2022-06-20,Bihar,2,45+,Fashion,19668.56,22,894.03,0.2149,1,1,559,7,0
MSH000115,Avni Bhargava,4383813340,2023-06-25,Rajasthan,2,26-35,Kitchen,21313.57,29,734.95,0.2343,1,1,189,29,0
MSH000116,Balvan Loyal,2371076140,2022-02-05,Odisha,1,26-35,Home Decor,12303.13,13,946.39,0.2272,3,0,694,9,0
MSH000117,Urvi Prabhu,07882323352,2023-06-09,Maharashtra,3,18-25,Beauty,10202.69,8,1275.34,0.1637,0,1,205,126,1
MSH000118,Jagdish Nair,01762013217,2022-06-09,Rajasthan,3,26-35,Beauty,4276.78,5,855.36,0.0765,1,1,570,5,0
MSH000119,Advika Shenoy,04045051470,2022-08-31,Maharashtra,3,45+,Beauty,6494.37,9,721.6,0.4366,1,1,487,132,1
MSH000120,Raagini Lall,+918543831954,2022-03-27,Uttar Pradesh,3,26-35,Electronics,14549.44,21,692.83,0.1795,2,1,644,15,0
MSH000121,Tripti Mital,6208691285,2022-01-28,Maharashtra,3,26-35,Kitchen,3501.07,3,1167.02,0.0764,0,1,702,15,0
MSH000122,Sneha Sharaf,0475114284,2022-12-06,Bihar,2,26-35,Home Decor,20559.84,19,1082.1,0.038,2,0,390,28,0
MSH000123,Oliver Ramanathan,5301109276,2022-11-27,Tamil Nadu,2,26-35,Fashion,12778.38,18,709.91,0.232,1,0,399,165,1
MSH000124,Oviya Menon,+914823804152,2023-05-21,Tamil Nadu,3,36-45,Electronics,32979.62,32,1030.61,0.0806,1,0,224,20,0
MSH000125,Warda Goda,9394807692,2022-12-14,Gujarat,3,36-45,Kitchen,17067.16,22,775.78,0.0973,0,1,382,25,0
MSH000126,Madhavi Patla,2943217954,2023-04-18,Uttar Pradesh,3,18-25,Kitchen,15754.7,10,1575.47,0.1497,3,1,257,11,0
MSH000127,Ekani Pandya,06833416490,2022-08-19,Maharashtra,3,26-35,Kitchen,11792.76,14,842.34,0.4099,2,1,499,25,0
MSH000128,Anmol Singhal,+912734301545,2022-07-09,Rajasthan,2,26-35,Fashion,5745.44,9,638.38,0.3184,2,0,540,298,1
MSH000129,Leena Grover,09827118404,2022-08-13,Madhya Pradesh,3,26-35,Kitchen,4748.71,11,431.7,0.0821,2,0,505,163,1
MSH000130,Amruta Ramaswamy,02768521093,2023-01-20,Maharashtra,1,26-35,Fashion,13702.53,13,1054.04,0.1067,3,1,345,22,0
MSH000131,Mohini Patil,+917200967801,2023-01-12,Maharashtra,2,18-25,Home Decor,3957.01,1,3957.01,0.0423,3,1,353,340,1
MSH000132,Amaira Kara,5612384938,2022-10-10,Uttar Pradesh,2,18-25,Fashion,23266.38,26,894.86,0.243,1,1,447,92,1
MSH000133,Bhavini Amble,07211074417,2022-09-16,West Bengal,3,18-25,Home Decor,21307.22,21,1014.63,0.1485,1,1,471,6,0
MSH000134,Wahab Bedi,9919963603,2022-12-25,Madhya Pradesh,3,26-35,Beauty,13422.43,17,789.55,0.1553,1,1,371,28,0
MSH000135,Naksh Badami,+916840503991,2023-04-01,Madhya Pradesh,3,26-35,Fashion,7680.03,8,960.0,0.0646,2,1,274,4,0
MSH000136,Hemani Nigam,4487736316,2023-02-15,Madhya Pradesh,3,45+,Home Decor,16003.88,20,800.19,0.2677,4,1,319,8,0
MSH000137,Abdul Agate,02575268513,2022-11-14,Uttar Pradesh,2,26-35,Home Decor,19475.58,19,1025.03,0.2836,3,1,412,20,0
MSH000138,Hardik Bahl,0218448553,2022-08-13,West Bengal,2,26-35,Electronics,25710.47,29,886.57,0.0429,0,1,505,6,0
MSH000139,Anay Gupta,9590082214,2022-08-22,Uttar Pradesh,3,45+,Electronics,17328.07,23,753.39,0.4362,3,1,496,160,1
MSH000140,Chandran Merchant,8328939746,2023-01-09,Odisha,3,26-35,Fashion,5056.16,5,1011.23,0.4308,1,1,356,132,1
MSH000141,Pavani Koshy,+910896171929,2023-04-17,Uttar Pradesh,3,26-35,Electronics,8597.08,14,614.08,0.2233,4,1,258,3,0
MSH000142,Zaid Chauhan,9010838473,2022-08-21,Karnataka,3,26-35,Kitchen,14584.41,22,662.93,0.0884,5,1,497,0,0
MSH000143,Yashawini Ratti,5931478431,2022-04-23,Uttar Pradesh,3,26-35,Fashion,23545.58,26,905.6,0.1568,1,0,617,29,0
MSH000144,Brijesh Sharaf,01771072075,2023-05-12,West Bengal,1,36-45,Electronics,7969.52,6,1328.25,0.2161,2,1,233,16,0
MSH000145,Zilmil Dave,7988152628,2023-03-18,Karnataka,2,36-45,Kitchen,5663.89,8,707.99,0.0327,2,1,288,21,0
MSH000146,Vasudha Nigam,+916199229172,2022-09-25,Tamil Nadu,1,45+,Kitchen,13092.43,18,727.36,0.1722,3,1,462,28,0
MSH000147,Geetika Kala,5746595021,2023-05-25,Bihar,3,26-35,Electronics,16949.32,22,770.42,0.2875,0,1,220,15,0
MSH000148,Xiti Padmanabhan,+910197688159,2023-01-21,Uttar Pradesh,3,36-45,Home Decor,21352.75,31,688.8,0.1929,2,1,344,105,1
MSH000149,Chakradev Banik,+916686022846,2023-01-22,Tamil Nadu,1,26-35,Fashion,13670.25,17,804.13,0.0191,1,1,343,27,0
MSH000150,Radha Venkatesh,+916518645283,2022-04-23,Tamil Nadu,3,26-35,Fashion,2483.28,5,496.66,0.2528,2,1,617,271,1
MSH000151,Dominic Joshi,1615235284,2022-03-22,Bihar,3,36-45,Home Decor,4731.29,3,1577.1,0.1388,1,1,649,11,0
MSH000152,Megha Shanker,4887637241,2022-04-23,Maharashtra,2,45+,Fashion,17866.17,27,661.71,0.1492,2,1,617,28,0
MSH000153,Jeevika Doctor,03677076828,2022-01-02,Maharashtra,3,18-25,Fashion,26224.94,30,874.16,0.3429,1,0,728,5,0
MSH000154,Gayathri Cheema,2413903828,2022-08-08,Odisha,3,36-45,Beauty,24419.24,23,1061.71,0.3628,1,1,510,161,1
MSH000155,Odika Walla,+919160320483,2022-08-13,Odisha,3,26-35,Fashion,10401.42,18,577.86,0.0492,1,1,505,17,0
MSH000156,Neel Koshy,02796368560,2023-01-20,Odisha,3,45+,Kitchen,20304.48,29,700.15,0.3262,3,1,345,1,0
MSH000157,Vinaya Bhat,4475620766,2023-02-07,West Bengal,2,36-45,Home Decor,16788.38,16,1049.27,0.0946,0,1,327,14,0
MSH000158,Leena Solanki,5381734654,2022-05-10,Odisha,2,45+,Home Decor,9050.2,14,646.44,0.0828,0,1,600,0,0
MSH000159,Bhavya Halder,00351970467,2022-02-22,Maharashtra,3,18-25,Electronics,40774.34,52,784.12,0.0755,2,0,677,4,0
MSH000160,Naveen Bora,09876082024,2023-02-20,Bihar,2,18-25,Fashion,28007.19,38,737.03,0.5906,0,1,314,151,1
MSH000161,Falguni Korpal,9228394471,2022-09-04,Uttar Pradesh,1,26-35,Fashion,7504.1,10,750.41,0.2427,2,0,483,26,0
MSH000162,Imaran Choudhary,05240195991,2023-03-15,Bihar,2,36-45,Fashion,33975.81,47,722.89,0.0525,1,0,291,286,1
MSH000163,Dalbir Bora,+912459596700,2022-07-22,Maharashtra,3,26-35,Home Decor,16766.96,14,1197.64,0.2617,1,1,527,22,0
MSH000164,Netra Chowdhury,+915158316362,2022-07-03,Uttar Pradesh,2,18-25,Electronics,18030.43,25,721.22,0.2245,2,0,546,12,0
MSH000165,Adweta Kannan,1110162143,2022-05-03,Uttar Pradesh,2,26-35,Fashion,4270.66,4,1067.66,0.2369,1,0,607,26,0
MSH000166,Siddharth Narula,4782710607,2023-02-05,Rajasthan,3,36-45,Home Decor,9221.79,17,542.46,0.2781,1,1,329,26,0
MSH000167,Benjamin Johal,5521135308,2022-10-21,Karnataka,3,45+,Kitchen,10154.75,20,507.74,0.1022,2,0,436,7,0
MSH000168,Ekiya Yadav,+914263681197,2022-10-07,Bihar,3,18-25,Electronics,7949.01,11,722.64,0.1794,2,0,450,18,0
MSH000169,Anthony Dugar,+919834982158,2022-07-17,Tamil Nadu,2,45+,Fashion,6524.28,7,932.04,0.1182,3,1,532,16,0
MSH000170,Dakshesh Kapur,9861655405,2023-05-26,Gujarat,2,18-25,Home Decor,41503.97,57,728.14,0.397,0,0,219,203,1
MSH000171,Yashica Atwal,+915927501944,2022-05-24,West Bengal,1,26-35,Kitchen,6337.7,9,704.19,0.1363,3,1,586,0,0
MSH000172,Arunima Bhagat,3179089725,2022-07-20,West Bengal,3,18-25,Fashion,15361.38,15,1024.09,0.1011,1,0,529,18,0
MSH000173,Jyoti Talwar,+911853201630,2022-05-04,West Bengal,3,45+,Fashion,3398.42,1,3398.42,0.1621,2,1,606,5,0
MSH000174,Madhav Narasimhan,09499498085,2022-07-06,Uttar Pradesh,3,26-35,Home Decor,9022.16,10,902.22,0.1418,4,1,543,23,0
MSH000175,Devika Agrawal,+916869631475,2022-11-22,Tamil Nadu,2,26-35,Kitchen,47491.35,63,753.83,0.1806,2,1,404,27,0
MSH000176,Mitali Ravi,5262188121,2023-04-09,Madhya Pradesh,3,45+,Fashion,28899.08,32,903.1,0.2171,2,0,266,21,0
MSH000177,Lopa Shere,02990846163,2022-12-15,Uttar Pradesh,1,26-35,Beauty,6115.76,7,873.68,0.0319,2,1,381,22,0
MSH000178,Panini Lanka,+912603011125,2023-02-07,Uttar Pradesh,1,45+,Home Decor,7627.49,12,635.62,0.3562,1,0,327,157,1
MSH000179,Meghana Bobal,02081871718,2022-12-12,West Bengal,3,26-35,Home Decor,35850.36,42,853.58,0.0525,3,1,384,6,0
MSH000180,Azad Deshmukh,02015267019,2023-05-26,Gujarat,2,45+,Fashion,20534.7,25,821.39,0.1438,3,1,219,123,1
MSH000181,Vedika Edwin,4266039802,2022-05-27,West Bengal,3,36-45,Fashion,25204.01,31,813.03,0.6393,0,1,583,302,1
MSH000182,Ronith Gole,+916092015941,2022-05-28,Bihar,1,36-45,Fashion,24396.21,37,659.36,0.0254,2,0,582,26,0
MSH000183,Harita Parmar,04604133370,2023-05-04,Odisha,1,26-35,Kitchen,16837.85,24,701.58,0.3191,0,1,241,25,0
MSH000184,Maanas Zachariah,1863300837,2022-12-04,Uttar Pradesh,3,36-45,Home Decor,6942.72,10,694.27,0.2893,0,0,392,23,0
MSH000185,Nakul Bala,6722847732,2023-04-18,Uttar Pradesh,2,18-25,Fashion,22202.63,33,672.81,0.2292,2,1,257,3,0
MSH000186,Sanya Balakrishnan,5913135799,2022-05-31,Madhya Pradesh,1,18-25,Home Decor,9556.59,10,955.66,0.4253,1,1,579,7,0
MSH000187,Kamya Chatterjee,2802049738,2023-02-19,Uttar Pradesh,3,18-25,Fashion,7780.92,9,864.55,0.1825,1,0,315,5,0
MSH000188,Chaaya Varma,03523989680,2022-10-25,Uttar Pradesh,2,26-35,Home Decor,24061.49,42,572.89,0.4356,1,1,432,5,0
MSH000189,Gagan Wali,5359888155,2022-09-20,Karnataka,3,36-45,Home Decor,20152.65,28,719.74,0.1748,2,0,467,25,0
MSH000190,Yamini Goswami,08427521925,2022-05-24,Maharashtra,3,36-45,Electronics,16829.14,20,841.46,0.0913,2,1,586,12,0
MSH000191,Champak Ravi,2310854797,2022-12-12,Tamil Nadu,3,45+,Kitchen,46528.55,51,912.32,0.1916,0,0,384,18,0
